evaluations,algorithm_name,data_id,algorithm_info,suite,function_name,function_id,dimension,instance,run_id,evals,best_y,raw_y,x0,x1,eaf
1.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,25.374196264780004,-0.3440094000000001,0.5123337333333333,0.2010030967550688
2.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,16.54748585314,-1.3393048000000003,1.030883,0.23965296239718528
3.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,13.520373461526667,-0.8529110666666667,0.12241046666666668,0.26314323498839864
4.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,8.4873648892,0.03148439999999995,-0.7328456666666666,0.31023549516346693
5.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,4.720135515053333,-0.3277761333333335,-0.38887953333333336,0.3381841094684011
6.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,4.562541593293333,-0.061124599999999994,-0.5706942,0.34070973249162856
7.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,4.365324287899999,0.039378133333333294,-0.7273213333333334,0.35044139794498397
9.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,2.460843132626666,-0.2796666,-0.6146878,0.3904378047577875
10.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,2.195116015853333,-0.17037700000000006,-0.5436264000000001,0.40328489652400584
11.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,2.1494421881866668,-0.09920666666666667,-0.4751647333333334,0.40506586383523613
13.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.8764338923000001,-0.18440926666666677,-0.35668206666666674,0.4134519489473572
15.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.7471870855466667,-0.019840266666666696,-0.47964846666666666,0.41580261451350403
17.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.6903743642933335,-0.05441053333333336,-0.5338268666666668,0.43240420290318365
20.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.6580646590800001,-0.0340618666666667,-0.6195815333333335,0.4360563360144016
23.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.5969243968866669,-0.22523033333333345,-0.6049560666666667,0.43897061463912823
27.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.5709338847,-0.36378260000000007,-0.5008208,0.43972069920764695
31.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.2336675727933335,-0.3072208666666666,-0.5171258000000001,0.47145740576404943
35.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.17639038086,-0.3771398666666666,-0.5595364666666668,0.4868368897657092
41.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,1.1109855664266668,-0.43019473333333325,-0.45115293333333345,0.49070218875084104
47.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.9551803546266667,-0.49878066666666665,-0.16811520000000005,0.502124273941875
54.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.7727363242333333,-0.6957753333333333,-0.19186093333333332,0.523180521725373
62.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.5572730756733334,-0.6578772666666667,-0.2321113333333333,0.5416589425288283
71.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.5395976883333334,-0.5877524666666667,-0.3510592,0.5478547771362875
81.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.49196662535333324,-0.5378348666666667,-0.35069453333333345,0.553561526989517
93.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.49196662535333324,-0.5378348666666667,-0.35069453333333345,0.553561526989517
107.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.49196662535333324,-0.5378348666666667,-0.35069453333333345,0.553561526989517
123.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.4412842545066667,-0.6048188,-0.30244746666666666,0.5610172149882445
141.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.3701790045933333,-0.5892257333333333,-0.2874744666666666,0.5911394448263414
162.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.36769721883333323,-0.5966429333333333,-0.30884313333333335,0.593472232417446
186.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.24991526115333335,-0.64587,-0.18760013333333336,0.6355685344135681
213.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.23956131468666667,-0.6187171333333334,-0.2624316,0.6379516890377482
245.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.16613982642,-0.5793453999999999,-0.18699900000000003,0.6550587617668296
281.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.12142844984666668,-0.5559370666666668,-0.23878186666666662,0.6847406828766172
323.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.11675752864666668,-0.5108885999999999,-0.23804386666666666,0.6883697128334592
370.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.10711443982,-0.5235737333333333,-0.23942733333333333,0.6935642331424885
425.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.08010812524666668,-0.5118868,-0.30928133333333335,0.7273672620096867
488.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.06872605247333333,-0.4931360000000001,-0.2684708666666666,0.7448334672623393
560.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.06872605247333333,-0.4931360000000001,-0.2684708666666666,0.7448334672623393
643.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.058299973833333324,-0.5316230666666668,-0.2448158666666667,0.764569610070743
738.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.058299973833333324,-0.5316230666666668,-0.2448158666666667,0.764569610070743
846.0,RandomSearch,23.0,,,,1.0,2.0,8.0,8.0,1000.0,0.050847889439685996,0.052513254626666665,-0.5503822666666668,-0.2309393333333333,0.7802034789854443
